point_id,point_name,subbranch,lat,lon,avg_S0_S1,avg_S1_S2,avg_S2_S3,valid_S0_S1_cells,valid_S1_S2_cells,valid_S2_S3_cells,dominant_stage_type,kmeans_k3,kmeans_k3_label,kmeans_k4,kmeans_k4_label,kmeans_k5,kmeans_k5_label
CX01,慈溪逍林,太湖片-临绍小片,30.176553474815535,121.32252733323982,0.09190000000000001,0.06062000000000001,0.14851428571428574,5,5,7,S2_S3_dominant,1,overall_low,1,overall_low,1,overall_low
FY01,富阳城关,太湖片-临绍小片,30.016640485311385,119.98190231282108,0.07465999999999999,0.03322,0.5247285714285714,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
FY02,富阳东梓关,太湖片-临绍小片,29.888746645740536,119.82322508571217,0.07654000000000001,0.0125,0.5520714285714285,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
KQ01,柯桥城关,太湖片-临绍小片,29.748521349147794,120.55618144462922,0.08499999999999999,0.63854,0.11801428571428572,5,5,7,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant
SX01,绍兴城区东头埭,太湖片-临绍小片,29.993518344339964,120.58871374901304,0.0874,0.69018,0.15281428571428574,5,5,7,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant
SY02,上虞百官镇,太湖片-临绍小片,30.03284284378913,120.86882647540976,0.06072000000000001,0.5424,0.04874285714285714,5,5,7,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant
SZ02,嵊州长乐,太湖片-临绍小片,29.462161931063488,120.6134354682932,0.025759999999999998,0.10051999999999998,0.12472857142857142,5,5,7,S2_S3_dominant,1,overall_low,1,overall_low,1,overall_low
SZ03,嵊州崇仁镇,太湖片-临绍小片,29.597058890479932,120.71305579108136,0.00246,0.56492,0.0,5,5,7,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant
TL01,桐庐镇,太湖片-临绍小片,29.7884967854026,119.68688228167676,0.11988000000000001,0.030359999999999998,0.5954857142857143,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,5,S2_S3_dominant
XC01,新昌城关,太湖片-临绍小片,29.51218962718775,120.90152839470582,0.06654,0.03574,0.11929999999999999,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
XD01,新登下港,太湖片-临绍小片,30.05504419208193,119.70643910381924,0.06910000000000001,0.010620000000000001,0.7122285714285714,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
XH02,萧山城厢,太湖片-临绍小片,30.184673237617087,120.26218610190767,0.07798000000000001,0.5818,0.13501428571428573,5,5,7,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant
XS03,萧山南阳镇,太湖片-临绍小片,30.264074721662567,120.44397314596198,0.02902,0.48769999999999997,0.09378571428571429,5,5,7,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant
YY01,余姚城关,太湖片-临绍小片,30.03828439897687,121.15542443185122,0.017679999999999998,0.061,0.15074285714285712,5,5,7,S2_S3_dominant,1,overall_low,1,overall_low,1,overall_low
ZJ01,诸暨城关,太湖片-临绍小片,29.7117133107683,120.24004681294583,0.11234,0.04034,0.10652857142857143,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
ZJ02,诸暨璜山镇,太湖片-临绍小片,29.571826761282235,120.33308245398152,0.10182,0.00624,0.10612857142857143,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
ZJ03,诸暨直埠镇,太湖片-临绍小片,29.830264930206425,120.2501858189284,0.05058,0.015339999999999998,0.020414285714285715,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
HZ01,杭州城区,太湖片-杭州小片,30.28706827929675,120.1526233988192,0.32776,0.055799999999999995,0.42847142857142856,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,4,S2_S3_dominant,4,S2_S3_plus_S0_S1
CZ01,常州,太湖片-毗陵小片,31.817299970768328,119.98167946067193,0.10968,0.04,0.09581428571428571,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,31.26422864475738,119.21214886627472,0.07008,0.0,0.20918571428571428,5,5,7,S2_S3_dominant,1,overall_low,1,overall_low,1,overall_low
DY01,丹阳,太湖片-毗陵小片,32.00504378566424,119.60890125492249,0.24868,0.0,0.11849999999999998,5,5,7,S0_S1_dominant,1,overall_low,1,overall_low,1,overall_low
JJ01,靖江城区,太湖片-毗陵小片,32.014549490723574,120.27535869012826,0.02968,0.0,0.10571428571428572,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
JT01,金坛,太湖片-毗陵小片,31.722801327048952,119.59665998366492,0.10778000000000001,0.03598,0.12081428571428572,5,5,7,S2_S3_dominant,1,overall_low,1,overall_low,1,overall_low
JY01,江阴城区澄江镇,太湖片-毗陵小片,31.91856501026851,120.28546180941228,0.06695999999999999,0.0073999999999999995,0.48938571428571426,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
LY01,溧阳,太湖片-毗陵小片,31.434264738248665,119.49640303729689,0.0308,0.0,0.028571428571428574,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
NT01,南通金沙镇,太湖片-毗陵小片,32.07952490070315,121.0797065725066,0.0,0.0,0.04562857142857143,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
YX01,宜兴,太湖片-毗陵小片,31.34176176690364,119.82862754717812,0.04988,0.0125,0.05612857142857143,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
BL01,北仑城关,太湖片-甬江小片,29.89811926756077,121.8555161345704,0.01988,0.02172,0.13595714285714286,5,5,7,S2_S3_dominant,1,overall_low,1,overall_low,1,overall_low
FH01,奉化西坞,太湖片-甬江小片,29.680714793011017,121.49111464156624,0.05474,0.07386,0.033985714285714286,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
NB01,宁波市区,太湖片-甬江小片,29.882641254266098,121.55751200020596,0.04804,0.02942,0.07347142857142856,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
XS01,象山丹城,太湖片-甬江小片,29.47877399078279,121.8761040477852,0.05486,0.5765399999999999,0.17294285714285712,5,5,7,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant,3,S1_S2_dominant
YX02,鄞县中区,太湖片-甬江小片,29.816552546783488,121.54599962737127,0.05132,0.0073999999999999995,0.11452857142857142,5,5,7,overall_low,1,overall_low,1,overall_low,1,overall_low
ZS01,舟山定海,太湖片-甬江小片,30.021127079101433,122.11093332969364,0.05512,0.0162,0.14027142857142857,5,5,7,S2_S3_dominant,1,overall_low,1,overall_low,1,overall_low
BS01,宝山,太湖片-苏沪嘉小片,31.40789362562556,121.4823088278808,0.14845999999999998,0.0,0.5871142857142857,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,5,S2_S3_dominant
CM01,崇明城关,太湖片-苏沪嘉小片,31.62502137629809,121.39837364780428,0.1525,0.0,0.6800428571428572,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
CS01,川沙浦东,太湖片-苏沪嘉小片,31.47225912217096,121.36572899634233,0.16876,0.0,0.6416000000000001,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
CS02,常熟虞山镇,太湖片-苏沪嘉小片,31.591588596011817,120.71950098393457,0.14408,0.23806,0.4174428571428571,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,4,S2_S3_plus_S0_S1
FJ01,枫泾镇,太湖片-苏沪嘉小片,30.94686047887636,121.06526585497572,0.14414,0.0,0.43311428571428573,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
FX01,奉贤,太湖片-苏沪嘉小片,30.91897527897765,121.472539149005,0.12038,0.12,0.5435,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
HM01,海门镇沙地话,太湖片-苏沪嘉小片,31.8856763941394,121.15836100693876,0.16592,0.014580000000000001,0.6600428571428572,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
HN01,海宁城关,太湖片-苏沪嘉小片,30.51747651962801,120.67311840279037,0.17643999999999999,0.0375,0.45711428571428575,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
HY01,海盐县城,太湖片-苏沪嘉小片,30.52484608182146,120.943411857842,0.14984000000000003,0.15123999999999999,0.5096428571428572,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
JD01,嘉定城关,太湖片-苏沪嘉小片,31.375152300679105,121.2715824755144,0.21502,0.0,0.6663428571428571,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,30.85581735072176,120.89532033139976,0.2559,0.0,0.6898428571428571,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
JS02,金山,太湖片-苏沪嘉小片,30.819522049912862,121.0509678474497,0.17958000000000002,0.12476000000000001,0.5311714285714285,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
JX01,嘉兴城区,太湖片-苏沪嘉小片,30.759566738914614,120.77338166132184,0.14864,0.0,0.45461428571428575,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,31.41100143999111,120.95099221326376,0.16221999999999998,0.1325,0.6624285714285714,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
MH01,闵行,太湖片-苏沪嘉小片,31.110082852906288,121.38310554911088,0.13662000000000002,0.12,0.5132714285714286,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
NH01,南汇惠南镇,太湖片-苏沪嘉小片,31.05000952690444,121.74745427694488,0.13778,0.0,0.5534714285714285,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
PH01,平湖城关,太湖片-苏沪嘉小片,30.692613873607865,121.01118052674214,0.14448,0.12,0.5971142857142857,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,5,S2_S3_dominant
QP01,青浦商榻,太湖片-苏沪嘉小片,31.11800487430921,120.91982736628508,0.20704000000000003,0.13028,0.5341428571428571,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,4,S2_S3_dominant,4,S2_S3_plus_S0_S1
SH01,上海市区,太湖片-苏沪嘉小片,31.245251317000687,121.47209312541509,0.21766000000000002,0.09876,0.7882142857142858,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
SJ01,松江镇,太湖片-苏沪嘉小片,31.036008868377273,121.22465745683684,0.22286,0.14262000000000002,0.7593571428571428,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
SZ01,苏州城区,太湖片-苏沪嘉小片,31.29881005567972,120.5842465949506,0.22038000000000002,0.17250000000000001,0.7391,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
TC01,太仓沙溪,太湖片-苏沪嘉小片,31.55669694801828,121.07694150440597,0.22524000000000002,0.17876,0.7509142857142858,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
TX01,桐乡城区,太湖片-苏沪嘉小片,30.62837635390344,120.55967958073325,0.18626,0.058899999999999994,0.4645428571428572,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
WJ01,吴江市松陵,太湖片-苏沪嘉小片,31.151716675903405,120.64901016522084,0.15960000000000002,0.12,0.5561142857142857,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
WJ02,吴江芦墟,太湖片-苏沪嘉小片,31.009803453390855,120.83681736613912,0.08598,0.058179999999999996,0.3897,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
WX01,无锡城区,太湖片-苏沪嘉小片,31.5672385460996,120.3044028357254,0.21158000000000002,0.12201999999999999,0.5115857142857143,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,4,S2_S3_dominant,4,S2_S3_plus_S0_S1
WX02,吴县光福镇,太湖片-苏沪嘉小片,31.283712541086764,120.39250256018134,0.23252,0.09876,0.7187285714285715,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
XZ01,莘庄,太湖片-苏沪嘉小片,31.124822322270933,121.36994323180724,0.1236,0.1325,0.4767428571428572,5,5,7,S2_S3_dominant,2,S2_S3_dominant,4,S2_S3_dominant,5,S2_S3_dominant
AJ01,安吉安城,太湖片-苕溪小片,30.71501207030173,119.69403152449726,0.27586,0.19290000000000002,0.39212857142857144,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,4,S2_S3_dominant,4,S2_S3_plus_S0_S1
DQ01,德清乾元,太湖片-苕溪小片,30.41128187027115,120.3066753297041,0.18116000000000002,0.032100000000000004,0.6846428571428572,5,5,7,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant,2,S2_S3_dominant
LP01,临平五杭,太湖片-苕溪小片,30.494257613,120.253757428,0.20342000000000002,0.0,0.5834714285714285,5,5,7,S2_S3_plus_S0_S1,2,S2_S3_dominant,2,S2_S3_dominant,5,S2_S3_dominant
