group_type,group_value,model,token_count,task_count,point_count,success_token_count,failure_token_count,success_token_share,weighted_mean_success_path_cost,main_chain_deposit_share,core_split_deposit_share,lowering_deposit_share,u_to_əu_normalized,u_to_o_normalized,u_to_ɷ_normalized,ɷ_to_o_normalized,s3_o_token_count,s3_o_reached_token_count,s3_o_reached_share,top_edges
global,ALL,base_main_chain,17236,44,64,16582,654,0.962056161522395,1.2171358910377463,0.7958108217766887,0.12264390119599376,0.0,0.347386791487397,0.0,0.0,0.0,201,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.925 | a>ɑ:0.548 | o>ɷ:0.412 | u>əu:0.401
global,ALL,with_s3_lowering,17236,44,64,16923,313,0.9818403341842655,1.1856102099530414,0.7972234897655581,0.1135141787625324,0.025762493210691316,0.37087410052986847,0.020828927930119832,0.045378249800519924,0.03125336179199314,201,201,1.0,ɑ>ɔ:1.000 | ɔ>o:0.923 | a>ɑ:0.573 | o>ɷ:0.444 | u>əu:0.415
onset_class,K,base_main_chain,4032,29,64,4015,17,0.9957837301587301,1.1853274585758857,0.755583734646482,0.15855300111736445,0.0,0.5075197994320814,0.0,0.0,0.0,3,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.901 | u>əu:0.584 | a>ɑ:0.562 | o>ɷ:0.498
onset_class,K,with_s3_lowering,4032,29,64,4024,8,0.998015873015873,1.1553570994584104,0.7870292035841399,0.15402179676057706,0.002509217490463101,0.5573581199045055,0.0011262896550896734,0.0057571221384719205,0.005757111518007074,3,3,1.0,ɑ>ɔ:1.000 | ɔ>o:0.892 | u>əu:0.607 | a>ɑ:0.591 | o>ɷ:0.534
onset_class,M,base_main_chain,1170,34,64,961,209,0.8213675213675213,1.1619028423643587,0.8569723870266225,0.06144925938520862,0.0,0.13868666698066062,0.0,0.0,0.0,136,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.965 | a>ɑ:0.819 | o>ɷ:0.206 | ɷ>u:0.179
onset_class,M,with_s3_lowering,1170,34,64,1133,37,0.9683760683760684,1.0706785135301065,0.7653559222613078,0.0513886644151613,0.12983499831553952,0.12353354787080309,0.42730675237834537,0.013951094129848287,0.01070779468347269,136,136,1.0,ɑ>ɔ:1.000 | ɔ>o:0.982 | a>ɑ:0.783 | u>o:0.468 | o>ɷ:0.213
onset_class,N,base_main_chain,1551,25,64,1442,109,0.9297227595099935,1.1845532465601671,0.7041498540733783,0.21301191812447795,0.0,0.6714983672034455,0.0,0.0,0.0,12,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.886 | u>əu:0.738 | o>ɷ:0.520 | ɷ>u:0.456
onset_class,N,with_s3_lowering,1551,25,64,1474,77,0.950354609929078,1.1560861328207621,0.6630382488723754,0.21128130640824536,0.029201070079637435,0.7365795884241283,0.00399932273804921,0.06936483339064409,0.044442728676462914,12,12,1.0,ɑ>ɔ:1.000 | u>əu:0.901 | ɔ>o:0.861 | o>ɷ:0.656 | ɷ>u:0.579
onset_class,P,base_main_chain,2777,29,64,2744,33,0.9881166726683471,1.2614004744908682,0.8957550541534625,0.023408863135323206,0.0,0.023190198220118564,0.0,0.0,0.0,1,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.995 | a>ɑ:0.824 | o>ɷ:0.336 | ɷ>u:0.306
onset_class,P,with_s3_lowering,2777,29,64,2745,32,0.988476773496579,1.2407425978234368,0.9350188655033936,0.013877039885573064,0.0005131305800958724,0.02417899273479628,0.0015261754118409386,4.0868039672203295e-09,4.076832270981187e-09,1,1,1.0,ɑ>ɔ:1.000 | ɔ>o:0.990 | a>ɑ:0.821 | o>ɷ:0.345 | ɷ>u:0.315
onset_class,T,base_main_chain,2204,25,64,2034,170,0.9228675136116152,1.1882040445600217,0.7042616560150564,0.21889166188596007,0.0,0.7202158069920233,0.0,0.0,0.0,2,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.916 | u>əu:0.777 | o>ɷ:0.547 | ɷ>u:0.487
onset_class,T,with_s3_lowering,2204,25,64,2079,125,0.9432849364791288,1.1658775655100033,0.6804539814983936,0.21185518246555549,0.029004754667346536,0.7787427383368687,2.463392418805793e-09,0.0933162968830231,0.026256662820183144,2,2,1.0,ɑ>ɔ:1.000 | ɔ>o:0.906 | u>əu:0.863 | o>ɷ:0.614 | ɷ>u:0.547
onset_class,TS,base_main_chain,2715,37,64,2606,109,0.959852670349908,1.2225774982784756,0.8092720793364272,0.09639080481346925,0.0,0.2737555851919134,0.0,0.0,0.0,45,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.982 | a>ɑ:0.790 | u>əu:0.326 | o>ɷ:0.294
onset_class,TS,with_s3_lowering,2715,37,64,2686,29,0.9893186003683241,1.1950117037344619,0.8169013737061878,0.08921978515654903,0.03363531933182266,0.27167409232105927,0.004273263480108195,0.07139907259591216,0.056865367783797666,45,45,1.0,ɑ>ɔ:1.000 | ɔ>o:0.955 | a>ɑ:0.811 | u>əu:0.309 | o>ɷ:0.288
onset_class,Ø,base_main_chain,2787,28,64,2780,7,0.9974883387154646,1.2688463145652462,0.8123384838172366,0.09803630947030303,0.0,0.2495357937251556,0.0,0.0,0.0,2,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.953 | o>ɷ:0.477 | a>ɑ:0.461 | ɷ>u:0.435
onset_class,Ø,with_s3_lowering,2787,28,64,2782,5,0.9982059562253319,1.245014238108862,0.8499758604665089,0.08958711331253162,0.000867262327479195,0.2801999631064104,0.0028981606511894213,3.4808516117025134e-08,3.479847367552137e-08,2,2,1.0,ɑ>ɔ:1.000 | ɔ>o:0.910 | a>ɑ:0.511 | o>ɷ:0.506 | ɷ>u:0.463
subbranch,太湖片-临绍小片,base_main_chain,4639,19,17,4469,170,0.963354171157577,1.1912524313798722,0.7628658305819938,0.05229377853252982,0.0,5.688915508203894e-10,0.0,0.0,0.0,56,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.783 | a>ɔ:0.261 | ɷ>u:0.134 | o>ɷ:0.134
subbranch,太湖片-临绍小片,with_s3_lowering,4639,19,17,4563,76,0.9836171588704462,1.171741439935891,0.8091807744190825,0.04924243491456913,0.024179724972956427,5.880416356792637e-10,0.06269749285901947,1.2141000931864872e-06,1.2141000931864872e-06,56,56,1.0,ɔ>o:1.000 | ɑ>ɔ:0.971 | a>ɑ:0.311 | o>ɷ:0.140 | ɷ>u:0.140
subbranch,太湖片-杭州小片,base_main_chain,228,7,1,202,26,0.8859649122807017,0.9084238135294934,0.9670518111465668,0.0,0.0,5.981112853676682e-10,0.0,0.0,0.0,23,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.992 | ɷ>u:0.098 | o>ɷ:0.098 | ɑ>o:0.056
subbranch,太湖片-杭州小片,with_s3_lowering,228,7,1,225,3,0.9868421052631579,0.8581428030577118,0.7675805717908244,0.0,0.16808179712789686,6.051448026630213e-10,0.387740848708913,2.0303595570053226e-07,2.0303595570053226e-07,23,23,1.0,ɔ>o:1.000 | ɑ>ɔ:0.994 | u>o:0.388 | ɑ>o:0.172 | ɷ>u:0.109
subbranch,太湖片-毗陵小片,base_main_chain,2115,27,9,1972,143,0.932387706855792,1.2591182991695193,0.729118270792333,0.11407494872406997,0.0,0.10131683233833745,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.723 | a>ɑ:0.604 | o>ɷ:0.272 | ɔ>ʌ:0.196
subbranch,太湖片-毗陵小片,with_s3_lowering,2115,27,9,2020,95,0.9550827423167849,1.2192637432152527,0.7139864492240863,0.10246499435745364,0.032738873262572916,0.10785282882816986,1.0836399855734254e-09,0.11189360525213486,0.011045967476864049,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.707 | a>ɑ:0.653 | o>ɷ:0.296 | ɔ>ʌ:0.234
subbranch,太湖片-甬江小片,base_main_chain,1601,11,6,1569,32,0.9800124921923797,1.3442830377192416,0.7373657520820439,0.1134618163518703,0.0,0.41145601951862626,0.0,0.0,0.0,10,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.703 | u>əu:0.415 | ɷ>u:0.341 | o>ɷ:0.341
subbranch,太湖片-甬江小片,with_s3_lowering,1601,11,6,1579,22,0.9862585883822611,1.3332313873921704,0.7554963725915729,0.109522123457614,0.008924989099142295,0.35119852899705506,0.026594249602900473,1.1670534494447919e-06,1.1670534494447919e-06,10,10,1.0,ɔ>o:1.000 | ɑ>ɔ:0.708 | u>əu:0.376 | o>ɷ:0.309 | ɷ>u:0.309
subbranch,太湖片-苏沪嘉小片,base_main_chain,7525,29,28,7267,258,0.9657142857142857,1.194529739208826,0.7752378721219793,0.15973915744064543,0.0,0.6511309459848313,0.0,0.0,0.0,112,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.955 | u>əu:0.784 | a>ɑ:0.736 | o>ɷ:0.641
subbranch,太湖片-苏沪嘉小片,with_s3_lowering,7525,29,28,7422,103,0.986312292358804,1.1746836483104366,0.7708549044691021,0.1583088187045498,0.01593027183268692,0.6627690756346767,0.06163244667577321,1.3708579525897988e-06,1.3708579525897988e-06,112,112,1.0,ɑ>ɔ:1.000 | ɔ>o:0.937 | u>əu:0.784 | a>ɑ:0.755 | ɷ>u:0.646
subbranch,太湖片-苕溪小片,base_main_chain,1128,18,4,1103,25,0.9778368794326241,1.2498929931718588,0.7834443364203699,0.1571704169220002,0.0,0.6853952522707936,0.0,0.0,0.0,0,0,,o>ɷ:1.000 | ɑ>ɔ:0.967 | ɔ>o:0.931 | u>əu:0.769 | ɷ>u:0.658
subbranch,太湖片-苕溪小片,with_s3_lowering,1128,18,4,1114,14,0.9875886524822695,1.2352949136364426,0.7625878050054141,0.15478843065467798,0.015050896443009982,0.7226586141643855,9.297716254514323e-10,0.06972888939819726,7.855266501630565e-10,0,0,,o>ɷ:1.000 | ɔ>o:0.944 | ɑ>ɔ:0.930 | u>əu:0.761 | ɷ>u:0.657
subbranch_onset,太湖片-临绍小片__K,base_main_chain,1140,16,17,1128,12,0.9894736842105263,1.2198995664449337,0.7463547059626797,0.06106787746623872,0.0,5.693498549703943e-10,0.0,0.0,0.0,1,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.764 | a>ɔ:0.273 | ɷ>u:0.147 | o>ɷ:0.147
subbranch_onset,太湖片-临绍小片__K,with_s3_lowering,1140,16,17,1134,6,0.9947368421052631,1.2059991846310278,0.7948203296965527,0.054417630497875145,0.005870211304181406,6.092028554836943e-10,0.013141967881304565,0.0010756318035079293,0.0010756318035079293,1,1,1.0,ɔ>o:1.000 | ɑ>ɔ:0.832 | a>ɔ:0.192 | a>ɑ:0.172 | ɷ>u:0.154
subbranch_onset,太湖片-临绍小片__M,base_main_chain,316,15,17,262,54,0.8291139240506329,1.2019091035827054,0.7405658569705691,0.046055317927496155,0.0,5.540338235855551e-10,0.0,0.0,0.0,29,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.701 | a>ɔ:0.359 | a>ɑ:0.228 | o>ou:0.106
subbranch_onset,太湖片-临绍小片__M,with_s3_lowering,316,15,17,312,4,0.9873417721518988,1.1241515349690394,0.5284040566210446,0.08137180487216979,0.1627555776903182,5.530556587511e-10,0.46111289755049023,1.2767616308882808e-06,1.2767616308882808e-06,29,29,1.0,ɔ>o:1.000 | ɑ>ɔ:0.585 | u>o:0.478 | a>ɔ:0.471 | o>ou:0.225
subbranch_onset,太湖片-临绍小片__N,base_main_chain,414,9,17,389,25,0.9396135265700483,1.057695658112351,0.8652300046027911,0.06245134422329408,0.0,5.412891037645757e-10,0.0,0.0,0.0,8,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.954 | o>ou:0.129 | ɷ>u:0.111 | o>ɷ:0.111
subbranch_onset,太湖片-临绍小片__N,with_s3_lowering,414,9,17,397,17,0.9589371980676329,1.0401523661784549,0.7015616049202934,0.061505956768446196,0.035682501164364916,6.935002789613832e-10,0.08511199636795033,5.9076819089654696e-06,5.9076819089654696e-06,8,8,1.0,ɑ>ɔ:1.000 | ɔ>o:0.936 | ɑ>o:0.487 | o>ɷ:0.181 | ɷ>u:0.181
subbranch_onset,太湖片-临绍小片__P,base_main_chain,747,17,17,734,13,0.9825970548862115,1.2239874449775623,0.741865379247625,0.042023063870155676,0.0,6.740789541360343e-10,0.0,0.0,0.0,1,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.729 | a>ɔ:0.322 | a>ɑ:0.245 | ɑ>o:0.130
subbranch_onset,太湖片-临绍小片__P,with_s3_lowering,747,17,17,735,12,0.9839357429718876,1.2110831118063379,0.7356661013253978,0.037789088355769045,0.002533422359269663,6.788465209459387e-10,0.00574129070245436,2.6582217494294297e-05,2.6582217494294297e-05,1,1,1.0,ɔ>o:1.000 | ɑ>ɔ:0.661 | a>ɔ:0.392 | a>ɑ:0.151 | o>ɤ:0.100
subbranch_onset,太湖片-临绍小片__T,base_main_chain,571,10,17,533,38,0.9334500875656743,1.1171193459607445,0.7622903081227689,0.0705065372571368,0.0,6.918935289733407e-10,0.0,0.0,0.0,2,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.990 | ɑ>o:0.305 | ɷ>u:0.198 | o>ɷ:0.198
subbranch_onset,太湖片-临绍小片__T,with_s3_lowering,571,10,17,537,34,0.9404553415061296,1.0846494123314325,0.8351745452630102,0.06208671342758933,0.0098477322753086,6.647339464515448e-10,0.02325732896460433,1.1009878686085532e-07,1.1009878686085532e-07,2,2,1.0,ɑ>ɔ:1.000 | ɔ>o:0.985 | o>ɷ:0.178 | ɷ>u:0.178 | o>ou:0.145
subbranch_onset,太湖片-临绍小片__TS,base_main_chain,679,17,17,654,25,0.9631811487481591,1.2007228267105499,0.710225151604403,0.03517547808043552,0.0,5.055301168322937e-10,0.0,0.0,0.0,14,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.610 | a>ɔ:0.487 | o>ɤ:0.091 | a>ɑ:0.087
subbranch_onset,太湖片-临绍小片__TS,with_s3_lowering,679,17,17,678,1,0.9985272459499264,1.1723949483671035,0.6658409314461741,0.04260040600255417,0.039213613880213265,5.068738186897473e-10,0.09604044851049837,6.885569973179572e-07,6.885569973179572e-07,14,14,1.0,ɔ>o:1.000 | ɑ>ɔ:0.588 | a>ɔ:0.515 | o>ou:0.096 | u>o:0.094
subbranch_onset,太湖片-临绍小片__Ø,base_main_chain,772,13,17,769,3,0.9961139896373057,1.230630822269914,0.813953062442945,0.049756036591816995,0.0,5.520468767925283e-10,0.0,0.0,0.0,1,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.953 | a>ɑ:0.289 | o>ɷ:0.219 | ɷ>u:0.219
subbranch_onset,太湖片-临绍小片__Ø,with_s3_lowering,772,13,17,770,2,0.9974093264248705,1.215727987485492,0.7749904021400523,0.04359091895051374,0.0019557888198259562,5.827907525652454e-10,0.004773078823710459,1.8823977931864352e-05,1.8823977931864352e-05,1,1,1.0,ɔ>o:1.000 | ɑ>ɔ:0.826 | ɷ>u:0.246 | o>ɷ:0.246 | ɑ>o:0.238
subbranch_onset,太湖片-毗陵小片__K,base_main_chain,480,16,9,480,0,1.0,1.3033965952074993,0.6878723131584935,0.1240995606879836,0.0,0.07404040712706768,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.688 | a>ɑ:0.465 | o>ɷ:0.301 | ɔ>ʌ:0.246
subbranch_onset,太湖片-毗陵小片__K,with_s3_lowering,480,16,9,480,0,1.0,1.279513486118511,0.7066392553050045,0.11347758862489164,0.0002122342851787072,0.0801180480148673,6.357411457019851e-10,2.718176271159217e-07,6.357411457019851e-10,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.668 | a>ɑ:0.490 | o>ɷ:0.323 | ɔ>ʌ:0.283
subbranch_onset,太湖片-毗陵小片__M,base_main_chain,134,21,9,100,34,0.746268656716418,1.0818026786452009,0.7446559348122388,0.1430292611737891,0.0,0.31526830511988646,0.0,0.0,0.0,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.745 | ɔ>o:0.604 | u>əu:0.318 | o>ɷ:0.128
subbranch_onset,太湖片-毗陵小片__M,with_s3_lowering,134,21,9,115,19,0.8582089552238806,1.020730407879037,0.6445657918483362,0.12633873199521184,0.12581051698267415,0.2938495630327587,1.111090659981971e-09,0.43793130501110994,0.04663158593409793,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.738 | ɔ>o:0.587 | u>ɷ:0.439 | u>əu:0.291
subbranch_onset,太湖片-毗陵小片__N,base_main_chain,212,16,9,183,29,0.8632075471698113,1.3675323732155638,0.6076143062661584,0.15348081466104754,0.0,0.09865364128843143,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.560 | o>ɷ:0.337 | ɔ>ə:0.212 | o>ɤ:0.197
