group_type,group_value,model,token_count,task_count,point_count,success_token_count,failure_token_count,success_token_share,weighted_mean_success_path_cost,main_chain_deposit_share,core_split_deposit_share,lowering_deposit_share,u_to_əu_normalized,u_to_o_normalized,u_to_ɷ_normalized,ɷ_to_o_normalized,s3_o_token_count,s3_o_reached_token_count,s3_o_reached_share,top_edges
subbranch_onset,太湖片-毗陵小片__N,with_s3_lowering,212,16,9,186,26,0.8773584905660378,1.3458720565094555,0.6063149153122656,0.15105429524353384,0.015828317663880206,0.10441664375156968,0.0011665075340078785,0.03097678350467314,0.027712489895656875,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.532 | o>ɷ:0.355 | ɔ>ə:0.258 | ɔ>ʌ:0.171
subbranch_onset,太湖片-毗陵小片__P,base_main_chain,332,13,9,332,0,1.0,1.2147998423153556,0.846315354338148,0.0566406029826281,0.0,0.06387492027667101,0.0,0.0,0.0,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.947 | ɔ>o:0.841 | o>ɷ:0.259 | ɷ>u:0.186
subbranch_onset,太湖片-毗陵小片__P,with_s3_lowering,332,13,9,332,0,1.0,1.1819162277868736,0.8786817609579247,0.044140924508744246,6.536529062500917e-05,0.06507018913836544,6.464065482512892e-10,1.2321551502452486e-07,6.464065482512892e-10,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.896 | ɔ>o:0.780 | o>ɷ:0.265 | ɷ>u:0.193
subbranch_onset,太湖片-毗陵小片__T,base_main_chain,293,18,9,239,54,0.8156996587030717,1.3733534440347563,0.5870785299504612,0.1702271736259442,0.0,0.11034800474343165,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.584 | o>ɷ:0.353 | ɔ>ʌ:0.329 | o>ɤ:0.183
subbranch_onset,太湖片-毗陵小片__T,with_s3_lowering,293,18,9,260,33,0.8873720136518771,1.2102647913768165,0.5234196205788685,0.1421548718401493,0.12557328960174327,0.10570136315844314,5.146632486929379e-09,0.4745657826034958,0.007640366668512978,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.553 | u>ɷ:0.477 | o>ɷ:0.383 | ɔ>ʌ:0.356
subbranch_onset,太湖片-毗陵小片__TS,base_main_chain,325,20,9,300,25,0.9230769230769231,1.1811342435946797,0.7910942260932178,0.07768178897512071,0.0,0.08304982608751138,0.0,0.0,0.0,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.864 | ɔ>o:0.699 | o>ɷ:0.164 | ɔ>ʌ:0.131
subbranch_onset,太湖片-毗陵小片__TS,with_s3_lowering,325,20,9,309,16,0.9507692307692308,1.1523151918697205,0.7897891607474713,0.07294115213737463,0.029362296118243526,0.07887274451853124,8.8081453112293e-10,0.08666793327982764,0.01814608572403135,0,0,,a>ɑ:1.000 | ɑ>ɔ:0.894 | ɔ>o:0.719 | o>ɷ:0.164 | ɔ>ʌ:0.132
subbranch_onset,太湖片-毗陵小片__Ø,base_main_chain,339,17,9,338,1,0.9970501474926253,1.3180423413975435,0.6948036376970744,0.12456707535906258,0.0,0.08200988304115155,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.716 | a>ɑ:0.495 | o>ɷ:0.309 | ɔ>ʌ:0.257
subbranch_onset,太湖片-毗陵小片__Ø,with_s3_lowering,339,17,9,338,1,0.9970501474926253,1.3002173862692243,0.7119188775799029,0.11629318460512798,0.00025596956083859067,0.08785235195840994,6.061955785380009e-10,5.538635666827568e-06,6.061955785380009e-10,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.699 | a>ɑ:0.518 | o>ɷ:0.322 | ɔ>ʌ:0.278
subbranch_onset,太湖片-甬江小片__K,base_main_chain,388,7,6,388,0,1.0,1.4024108058502993,0.8322324380315651,0.09088590748363948,0.0,0.30735716062408536,0.0,0.0,0.0,0,0,,ɔ>o:1.000 | ɑ>ɔ:0.895 | a>ɑ:0.492 | o>ɷ:0.382 | ɷ>u:0.382
subbranch_onset,太湖片-甬江小片__K,with_s3_lowering,388,7,6,388,0,1.0,1.4029575505451821,0.6964734348483644,0.10130677798867302,0.0,0.31508219852601865,6.969345700733971e-10,6.969345700733971e-10,6.969345700733971e-10,0,0,,ɔ>o:1.000 | a>ɔ:0.509 | ɑ>ɔ:0.484 | ɷ>u:0.375 | o>ɷ:0.375
subbranch_onset,太湖片-甬江小片__M,base_main_chain,91,8,6,84,7,0.9230769230769231,1.1425430711302553,0.6049015679372194,0.2655670566951975,0.0,0.9401360900959018,0.0,0.0,0.0,7,0,0.0,ɔ>o:1.000 | u>əu:0.991 | ɑ>ɔ:0.576 | a>ɔ:0.423 | a>ɑ:0.318
subbranch_onset,太湖片-甬江小片__M,with_s3_lowering,91,8,6,91,0,1.0,1.1010839189755437,0.5795165288856523,0.2427599356118569,0.06807479604045705,0.9388202775250247,0.2528522699121839,1.7541895992868454e-07,1.7541895992868454e-07,7,7,1.0,u>əu:1.000 | ɔ>o:0.936 | ɑ>ɔ:0.632 | a>ɑ:0.457 | a>ɔ:0.294
subbranch_onset,太湖片-甬江小片__N,base_main_chain,140,7,6,130,10,0.9285714285714286,1.3241135980122847,0.7552529807654839,0.16719032268854767,0.0,0.5580731440591579,0.0,0.0,0.0,1,0,0.0,ɔ>o:1.000 | ɑ>ɔ:0.978 | u>əu:0.672 | ɷ>u:0.529 | o>ɷ:0.529
subbranch_onset,太湖片-甬江小片__N,with_s3_lowering,140,7,6,131,9,0.9357142857142857,1.305553791872711,0.7503620970572177,0.16574170527861268,0.01172472639195295,0.5350796552976134,0.035750415698645184,5.241226295241867e-07,5.241226295241867e-07,1,1,1.0,ɔ>o:1.000 | ɑ>ɔ:0.990 | u>əu:0.675 | ɷ>u:0.532 | o>ɷ:0.532
subbranch_onset,太湖片-甬江小片__P,base_main_chain,265,8,6,265,0,1.0,1.337455020386492,0.699980000016369,0.06309651316526653,0.0,0.16361761518259796,0.0,0.0,0.0,0,0,,ɔ>o:1.000 | a>ɔ:0.572 | ɑ>ɔ:0.423 | ɷ>u:0.182 | o>ɷ:0.182
subbranch_onset,太湖片-甬江小片__P,with_s3_lowering,265,8,6,265,0,1.0,1.3412533196331176,0.6916574837691928,0.06301970897062127,0.0,0.16357801684944354,6.461954734361099e-10,6.461954734361099e-10,6.461954734361099e-10,0,0,,ɔ>o:1.000 | a>ɔ:0.573 | ɑ>ɔ:0.417 | ɷ>u:0.185 | o>ɷ:0.185
subbranch_onset,太湖片-甬江小片__T,base_main_chain,197,5,6,184,13,0.934010152284264,1.3427052295134516,0.7661860444241012,0.12925238216713889,0.0,0.4034002884834609,0.0,0.0,0.0,0,0,,ɔ>o:1.000 | ɑ>ɔ:0.979 | ɷ>u:0.557 | o>ɷ:0.557 | u>əu:0.522
subbranch_onset,太湖片-甬江小片__T,with_s3_lowering,197,5,6,184,13,0.934010152284264,1.3271877100790868,0.8508722517864878,0.12029719940864296,0.0,0.3775375428746901,7.825789550571004e-10,7.825789550571004e-10,7.825789550571004e-10,0,0,,ɔ>o:1.000 | ɑ>ɔ:0.988 | o>ɷ:0.427 | ɷ>u:0.427 | u>əu:0.402
subbranch_onset,太湖片-甬江小片__TS,base_main_chain,257,9,6,255,2,0.9922178988326849,1.2964635764077816,0.6947758120927539,0.0859030402158428,0.0,0.2291253426857793,0.0,0.0,0.0,2,0,0.0,ɔ>o:1.000 | a>ɔ:0.513 | ɑ>ɔ:0.481 | a>ɑ:0.258 | u>əu:0.253
subbranch_onset,太湖片-甬江小片__TS,with_s3_lowering,257,9,6,257,0,1.0,1.2835395561329934,0.8583181130801625,0.07450717704550322,0.008797450144292705,0.22813033870684535,0.024674233000508746,3.125796793630795e-08,3.125796793630795e-08,2,2,1.0,ɔ>o:1.000 | ɑ>ɔ:0.968 | a>ɑ:0.781 | u>əu:0.267 | ɑ>o:0.172
subbranch_onset,太湖片-甬江小片__Ø,base_main_chain,263,7,6,263,0,1.0,1.435121363744842,0.7933638383487974,0.10174657786283231,0.0,0.345594757750327,0.0,0.0,0.0,0,0,,ɔ>o:1.000 | ɑ>ɔ:0.796 | ɷ>u:0.451 | o>ɷ:0.451 | u>əu:0.384
subbranch_onset,太湖片-甬江小片__Ø,with_s3_lowering,263,7,6,263,0,1.0,1.438811169804354,0.7329720583535263,0.10643867296944494,0.0,0.33454112601882025,7.156024337640498e-10,7.156024337640498e-10,7.156024337640498e-10,0,0,,ɔ>o:1.000 | ɑ>ɔ:0.626 | ɷ>u:0.464 | o>ɷ:0.464 | u>əu:0.392
subbranch_onset,太湖片-苏沪嘉小片__K,base_main_chain,1724,18,28,1721,3,0.9982598607888631,1.0972918248454242,0.7226603334074703,0.22370807611805255,0.0,1.0,0.0,0.0,0.0,2,0,0.0,u>əu:1.000 | ɑ>ɔ:0.726 | a>ɑ:0.661 | ɷ>u:0.655 | o>ɷ:0.655
subbranch_onset,太湖片-苏沪嘉小片__K,with_s3_lowering,1724,18,28,1724,0,1.0,1.0704405741055483,0.7535453120839726,0.22564922518104252,0.001383240655995716,1.0,0.005206540896429783,1.4219891758531846e-07,1.4219891758531846e-07,2,2,1.0,u>əu:1.000 | ɑ>ɔ:0.774 | ɷ>u:0.668 | o>ɷ:0.668 | ɔ>o:0.665
subbranch_onset,太湖片-苏沪嘉小片__M,base_main_chain,536,18,28,429,107,0.8003731343283582,1.1388990629740783,0.9508148919593861,0.019058568124943685,0.0,0.043913962285831325,0.0,0.0,0.0,94,0,0.0,ɑ>ɔ:1.000 | ɔ>o:0.987 | a>ɑ:0.783 | o>ɷ:0.194 | ɷ>u:0.194
subbranch_onset,太湖片-苏沪嘉小片__M,with_s3_lowering,536,18,28,523,13,0.9757462686567164,1.0353127243025568,0.7872609030850299,0.011687670487553585,0.16178398663522117,0.02602760947764122,0.5517769001239926,6.674438806074319e-07,6.674438806074319e-07,94,94,1.0,ɑ>ɔ:1.000 | ɔ>o:0.996 | a>ɑ:0.817 | u>o:0.571 | o>ɷ:0.202
subbranch_onset,太湖片-苏沪嘉小片__N,base_main_chain,672,13,28,639,33,0.9508928571428571,1.1852517556851048,0.6508829107801635,0.29010461807694254,0.0,1.0,0.0,0.0,0.0,0,0,,u>əu:1.000 | ɑ>ɔ:0.606 | ɔ>o:0.568 | ɷ>u:0.567 | o>ɷ:0.567
subbranch_onset,太湖片-苏沪嘉小片__N,with_s3_lowering,672,13,28,650,22,0.9672619047619048,1.1888180829337631,0.6391923511907304,0.2876006285095983,0.012251762501270963,1.0,9.635548826187164e-10,0.024169816544722562,0.024169816544722562,0,0,,u>əu:1.000 | ɑ>ɔ:0.599 | o>ɷ:0.568 | ɷ>u:0.568 | ɔ>o:0.553
subbranch_onset,太湖片-苏沪嘉小片__P,base_main_chain,1196,14,28,1177,19,0.9841137123745819,1.2576099027014502,0.9583350513531539,0.005598837901597437,0.0,6.139695619894091e-10,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | a>ɑ:0.983 | ɔ>o:0.974 | o>ɷ:0.442 | ɷ>u:0.442
subbranch_onset,太湖片-苏沪嘉小片__P,with_s3_lowering,1196,14,28,1177,19,0.9841137123745819,1.2644153139916372,0.9264188928546682,0.005757569766541306,0.0,6.148859852880925e-10,6.148859852880925e-10,6.148859852880925e-10,6.148859852880925e-10,0,0,,a>ɑ:1.000 | ɔ>o:0.946 | ɑ>ɔ:0.933 | o>ɷ:0.463 | ɷ>u:0.463
subbranch_onset,太湖片-苏沪嘉小片__T,base_main_chain,962,12,28,907,55,0.9428274428274428,1.1788393862118176,0.6593876067856381,0.298182712149038,0.0,1.0,0.0,0.0,0.0,0,0,,u>əu:1.000 | ɑ>ɔ:0.602 | ɔ>o:0.573 | ɷ>u:0.549 | o>ɷ:0.549
subbranch_onset,太湖片-苏沪嘉小片__T,with_s3_lowering,962,12,28,926,36,0.9625779625779626,1.2097867973731742,0.5596147300792921,0.31128277395067655,0.016904069306611084,1.0,1.6893062282340025e-09,0.02948403559043547,0.02948403559043547,0,0,,u>əu:1.000 | o>ɷ:0.530 | ɷ>u:0.530 | ɑ>ɔ:0.412 | ɔ>o:0.379
subbranch_onset,太湖片-苏沪嘉小片__TS,base_main_chain,1236,21,28,1196,40,0.9676375404530745,1.2241831999315866,0.8120957453857024,0.1235107644927446,0.0,0.4496184950541904,0.0,0.0,0.0,16,0,0.0,ɑ>ɔ:1.000 | a>ɑ:0.986 | ɔ>o:0.978 | u>əu:0.538 | o>ɷ:0.394
subbranch_onset,太湖片-苏沪嘉小片__TS,with_s3_lowering,1236,21,28,1224,12,0.9902912621359223,1.203492402768096,0.8086935818999683,0.12255614464801823,0.013574123202715078,0.4473039660876781,0.032725719590726426,0.008969472816598083,0.008969472816598083,16,16,1.0,ɔ>o:1.000 | ɑ>ɔ:0.953 | a>ɑ:0.864 | u>əu:0.511 | ɷ>u:0.380
subbranch_onset,太湖片-苏沪嘉小片__Ø,base_main_chain,1199,19,28,1198,1,0.9991659716430359,1.2497719184380844,0.8352704371888872,0.11139325158020141,0.0,0.4227377488210408,0.0,0.0,0.0,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.923 | a>ɑ:0.607 | o>ɷ:0.600 | ɷ>u:0.600
subbranch_onset,太湖片-苏沪嘉小片__Ø,with_s3_lowering,1199,19,28,1198,1,0.9991659716430359,1.2389866651187962,0.8442764825124163,0.11343350631489812,0.0,0.42286022710015625,5.644689977993453e-10,5.644689977993453e-10,5.644689977993453e-10,0,0,,ɑ>ɔ:1.000 | ɔ>o:0.886 | a>ɑ:0.648 | o>ɷ:0.616 | ɷ>u:0.616
subbranch_onset,太湖片-苕溪小片__K,base_main_chain,256,10,4,254,2,0.9921875,1.201225329175986,0.7441379675566994,0.23170257062684985,0.0,1.0,0.0,0.0,0.0,0,0,,u>əu:1.000 | o>ɷ:0.863 | ɑ>ɔ:0.843 | ɔ>o:0.814 | ɷ>u:0.678
subbranch_onset,太湖片-苕溪小片__K,with_s3_lowering,256,10,4,254,2,0.9921875,1.208118815629587,0.7287823553267657,0.23354021573160477,0.0,1.0,8.882730788897235e-10,8.882730788897235e-10,8.882730788897235e-10,0,0,,u>əu:1.000 | o>ɷ:0.863 | ɑ>ɔ:0.791 | ɔ>o:0.776 | ɷ>u:0.678
subbranch_onset,太湖片-苕溪小片__M,base_main_chain,76,10,4,75,1,0.9868421052631579,1.4087296461847016,0.8652588397690462,0.0,0.0,6.803498447139113e-10,0.0,0.0,0.0,0,0,,ɔ>o:1.000 | o>ɷ:0.867 | ɑ>ɔ:0.838 | ɷ>u:0.557 | a>ɔ:0.444
subbranch_onset,太湖片-苕溪小片__M,with_s3_lowering,76,10,4,75,1,0.9868421052631579,1.4057037022194405,0.8812037372648961,0.0,5.3165451356330664e-05,7.088694224509274e-10,7.088694224509274e-10,7.347818649382562e-10,7.088694224509274e-10,0,0,,ɔ>o:1.000 | ɑ>ɔ:0.888 | o>ɷ:0.860 | ɷ>u:0.554 | a>ɑ:0.456
subbranch_onset,太湖片-苕溪小片__N,base_main_chain,92,8,4,84,8,0.9130434782608695,1.1360938352024985,0.6982581287895625,0.2531449245930593,0.0,1.0,0.0,0.0,0.0,0,0,,u>əu:1.000 | o>ɷ:0.850 | ɑ>ɔ:0.725 | ɔ>o:0.686 | ɷ>u:0.498
subbranch_onset,太湖片-苕溪小片__N,with_s3_lowering,92,8,4,90,2,0.9782608695652174,1.0591667211300333,0.6965850456081834,0.22340655135419873,0.07110827166406306,1.0,1.2701161627546122e-09,0.33337899977947666,5.615734695725259e-10,0,0,,u>əu:1.000 | ɑ>ɔ:0.890 | o>ɷ:0.875 | ɔ>o:0.843 | ɷ>u:0.511
subbranch_onset,太湖片-苕溪小片__P,base_main_chain,198,11,4,197,1,0.9949494949494949,1.3769343468937698,0.8597409332780989,0.0,0.0,8.185180028981055e-10,0.0,0.0,0.0,0,0,,ɔ>o:1.000 | o>ɷ:0.844 | ɑ>ɔ:0.779 | ɷ>u:0.529 | a>ɔ:0.495
subbranch_onset,太湖片-苕溪小片__P,with_s3_lowering,198,11,4,197,1,0.9949494949494949,1.3820936660128287,0.9081874048391059,0.0,8.338321870356884e-05,6.899732894123432e-10,6.899732894123432e-10,9.595574202342636e-10,6.899732894123432e-10,0,0,,ɔ>o:1.000 | ɑ>ɔ:0.996 | o>ɷ:0.874 | a>ɑ:0.555 | ɷ>u:0.548
subbranch_onset,太湖片-苕溪小片__T,base_main_chain,143,8,4,135,8,0.9440559440559441,1.0875855080368837,0.6900182036952907,0.26906174642304176,0.0,1.0,0.0,0.0,0.0,0,0,,u>əu:1.000 | o>ɷ:0.762 | ɑ>ɔ:0.665 | ɔ>o:0.643 | ɷ>u:0.494
subbranch_onset,太湖片-苕溪小片__T,with_s3_lowering,143,8,4,136,7,0.951048951048951,1.0801653280623449,0.6930558428987302,0.2630384152594053,0.009849877463158605,1.0,6.511930616043641e-10,0.03739852881506127,5.875195401407856e-10,0,0,,u>əu:1.000 | o>ɷ:0.763 | ɑ>ɔ:0.699 | ɔ>o:0.679 | ɷ>u:0.494
subbranch_onset,太湖片-苕溪小片__TS,base_main_chain,182,11,4,178,4,0.978021978021978,1.2649583327245923,0.7258603212464078,0.15435253748263458,0.0,0.7349296556723787,0.0,0.0,0.0,0,0,,o>ɷ:1.000 | ɔ>o:0.957 | ɑ>ɔ:0.803 | u>əu:0.741 | a>ɔ:0.488
subbranch_onset,太湖片-苕溪小片__TS,with_s3_lowering,182,11,4,182,0,1.0,1.2367052146602957,0.6654663361637493,0.15241442550985612,0.03174104395422536,0.7271643843901645,1.2196678683411644e-09,0.15212566700065558,7.604062142713404e-10,0,0,,o>ɷ:1.000 | ɔ>o:0.915 | u>əu:0.728 | ɑ>ɔ:0.650 | a>ɔ:0.598
subbranch_onset,太湖片-苕溪小片__Ø,base_main_chain,181,8,4,180,1,0.994475138121547,1.2936593555307427,0.7991430628865426,0.13284227969673673,0.0,0.5714665974492211,0.0,0.0,0.0,0,0,,o>ɷ:1.000 | ɔ>o:0.911 | ɑ>ɔ:0.879 | ɷ>u:0.783 | u>əu:0.627
subbranch_onset,太湖片-苕溪小片__Ø,with_s3_lowering,181,8,4,180,1,0.994475138121547,1.291389084205566,0.7949234831508172,0.1330650106377355,0.0,0.6172386641035229,7.129037165144041e-10,7.129037165144041e-10,7.129037165144041e-10,0,0,,o>ɷ:1.000 | ɔ>o:0.918 | ɑ>ɔ:0.843 | ɷ>u:0.785 | u>əu:0.621
