point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,嵊州崇仁镇方言语音研究
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,多,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,拖,a/ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,他,a/ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,驼,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,驮,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,陀,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,鸵,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,沱,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,舵,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,大,a/ɤ,文读,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,T,驮,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,N,挪,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,N,哪,a,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,N,那,a,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,罗,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,锣,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,箩,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,萝,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,L,逻,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,左,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,佐,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,搓,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,TS,娑,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,歌,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,哥,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,柯,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,个,a/ɤ,一～/～人,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,轲,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,可,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,蛾,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,鹅,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,俄,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,娥,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,我,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,K,饿,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,荷,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,河,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,何,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,荷,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,贺,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,阿,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,歌,Ø,屙,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,茄,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,波,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,菠,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,跛,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,簸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,簸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,播,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,颇,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,坡,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,玻,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,破,ɤ,文读,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,婆,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,P,薄,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,魔,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,磨,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,摩,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,馍,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,蘑,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,M,磨,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,朵,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,躲,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,剁,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,妥,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,椭,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,唾,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,砣,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,惰,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,垛,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,T,堕,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,N,挼,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,N,糯,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,N,懦,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,L,骡,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,L,螺,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,L,脶,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,L,啰,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,L,裸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,L,瘰,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,L,摞,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,锉,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,莝,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,矬,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,坐,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,座,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,蓑,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,梭,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,唆,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,莎,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,锁,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,琐,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,TS,唢,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,过,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,锅,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,戈,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,果,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,裹,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,餜,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,过,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,科,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,窠,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,棵,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,髁,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,蝌,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,颗,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,课,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,讹,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,K,卧,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,火,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,伙,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,货,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,和,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,禾,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,祸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,夥,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,和,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,倭,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,踒,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,窝,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,涡,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,莴,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,涴,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,瘸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,靴,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,戈,Ø,�,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,巴,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,芭,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,疤,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,笆,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,吧,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,把,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,靶,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,霸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,欛,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,壩,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,坝,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,爸,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,怕,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,帕,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,爬,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,琶,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,杷,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,钯,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,P,耙,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,麻,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,痲,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,蟆,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,妈,a,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,马,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,码,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,玛,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,蚂,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,M,骂,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,N,拿,a/ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS,茶,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS,搽,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS,䖳,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,楂,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,渣,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,诈,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,榨,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,炸,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,叉,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,杈,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,差,a/ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,岔,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,差,a/ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,茬,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,查,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,乍,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,沙,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,纱,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,痧,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,砂,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,鲨,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,裟,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,洒,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,TS*,厦,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,家,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,傢,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,加,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,痂,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,嘉,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,枷,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,袈,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,假,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,贾,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,假,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,架,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,驾,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,嫁,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,稼,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,价,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,揢,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,牙,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,芽,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,衙,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,伢,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,蚜,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,雅,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,K,砑,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,虾,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,�,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,嚇,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,霞,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,瑕,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,遐,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,蝦,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,下,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,夏,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,厦,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,下,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,夏,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,暇,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,鸦,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,丫,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,桠,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,哑,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,麻,Ø,亚,ɤ,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,补,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,谱,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,哺,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,布,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,佈,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,铺,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,潽,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,普,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,浦,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,铺,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,怖,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,蒲,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,菩,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,脯,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,葡,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,莆,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,部,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,簿,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,篰,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,步,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,捕,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,P,埠,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,模,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,模,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,摹,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,姥,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,暮,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,慕,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,墓,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,募,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,M,睦,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,都,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,都,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,赌,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,堵,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,肚,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,睹,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,妒,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,土,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,吐,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,吐,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,兔,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,徒,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,屠,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,途,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,涂,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,图,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,杜,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,肚,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,度,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,渡,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,T,镀,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,N,奴,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,N,努,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,N,怒,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,卢,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,炉,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,芦,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,鸬,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,颅,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,鲈,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,鲁,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,橹,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,虏,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,卤,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,路,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,赂,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,露,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,L,鹭,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,租,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,祖,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,组,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,做,,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,粗,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,醋,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,措,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,错,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,苏,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,酥,u,,
SZ03,嵊州崇仁镇,太湖片-临绍小片,,,模,TS,素,u,,
