point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,调查材料
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,多,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,拖,a/əu,～舌头/～粪,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,他,a,其～,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,陀,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,鸵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,沱,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,大,a/əu,～学、～饼/～葱,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,N,挪,o,～用,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,N,哪,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,N,那,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,萝,ɔ/əu,～卜,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,逻,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,左,i/əu,～面,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,佐,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,搓,o/əu,～麻将/～衣服,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,娑,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,柯,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,个,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,轲,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,娥,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,我,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,波,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,跛,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,播,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,破,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,薄,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,馍,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,蘑,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,朵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,躲,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,剁,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,妥,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,椭,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,唾,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,砣,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,惰,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,垛,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,堕,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,N,挼,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,N,糯,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,N,懦,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,L,骡,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,L,螺,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,L,脶,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,L,啰,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,L,裸,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,L,摞,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,锉,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,坐,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,座,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,蓑,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,梭,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,唆,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,莎,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,锁,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,琐,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,TS,唢,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,锅,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,戈,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,果,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,裹,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,餜,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,科,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,窠,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,棵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,髁,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,蝌,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,颗,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,课,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,讹,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,卧,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,伙,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,祸,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,倭,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,窝,u,～藏,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,涡,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,莴,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,涴,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,靴,iɔ,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,巴,a/o,～黎/～结,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,芭,a/o,～蕾/～蕉,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,笆,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,吧,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,把,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,靶,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,欛,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,壩,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,爸,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,帕,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,爬,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,钯,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,P,耙,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,痲,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,蟆,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,妈,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,马,a/o,～虎/～上,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,码,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,玛,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,蚂,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,N,拿,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,楂,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,榨,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,杈,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,乍,o,～浦,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,痧,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,砂,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,鲨,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,裟,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,TS*,厦,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,家,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,傢,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,加,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,痂,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,嘉,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,枷,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,袈,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,假,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,贾,ia,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,假,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,架,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,驾,ia,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,嫁,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,稼,ia,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,价,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,揢,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,牙,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,芽,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,衙,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,伢,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,蚜,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,雅,ia,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,K,砑,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,虾,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,霞,ia,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,瑕,ia,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,厦,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,鸦,ia/o,～江村/水老～,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,丫,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,桠,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,哑,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,麻,Ø,亚,ia,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,补,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,谱,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,哺,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,布,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,佈,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,铺,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,潽,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,普,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,浦,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,铺,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,怖,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,菩,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,脯,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,葡,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,莆,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,部,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,簿,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,篰,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,步,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,捕,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,P,埠,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,模,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,模,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,摹,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,姥,ɔ,天～山,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,暮,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,慕,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,墓,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,募,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,M,睦,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,都,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,都,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,赌,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,堵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,睹,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,妒,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,土,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,兔,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,徒,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,屠,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,途,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,涂,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,图,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,杜,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,度,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,渡,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,T,镀,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,N,奴,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,N,努,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,N,怒,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,卢,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,炉,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,芦,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,鸬,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,颅,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,鲈,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,鲁,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,橹,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,虏,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,卤,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,路,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,赂,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,露,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,L,鹭,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,租,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,祖,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,组,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,做,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,粗,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,醋,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,措,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,错,o,～误,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,模,TS,苏,əu,,
