point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吴江方言语音研究
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,多,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,拖,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,他,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,陀,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,沱,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,大,ɔ/əu,文读/白读,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,N,挪,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,N,哪,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,N,那,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,萝,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,L,逻,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,左,i/əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,搓,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,柯,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,个,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,轲,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,娥,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,我,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,贺,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,茄,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,波,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,跛,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,簸,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,簸,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,播,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,颇,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,玻,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,破,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,P,薄,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,磨,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,摩,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,馍,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,M,磨,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,朵,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,躲,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,剁,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,妥,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,椭,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,唾,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,砣,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,惰,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,垛,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,T,堕,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,N,挼,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,N,糯,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,N,懦,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,骡,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,螺,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,脶,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,啰,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,裸,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,L,摞,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,锉,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,坐,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,座,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,蓑,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,梭,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,唆,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,锁,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,琐,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,锅,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,戈,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,果,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,裹,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,餜,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,科,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,窠,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,棵,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,髁,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,颗,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,课,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,讹,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,K,卧,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,火,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,伙,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,货,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,禾,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,祸,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,和,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,倭,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,窝,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,莴,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,瘸,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,靴,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,笆,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,吧,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,把,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,靶,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,霸,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,欛,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,壩,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,坝,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,爸,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,帕,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,钯,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,P,耙,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,痲,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,蟆,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,妈,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,马,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,码,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,玛,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,N,拿,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,楂,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,榨,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,杈,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,乍,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,痧,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,砂,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,洒,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,家,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,傢,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,加,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,痂,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,嘉,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,枷,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,袈,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,假,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,贾,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,假,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,架,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,驾,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,嫁,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,稼,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,价,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,揢,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,牙,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,芽,ɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,衙,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,伢,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,蚜,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,雅,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,K,砑,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,虾,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,霞,iɔ,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,厦,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,鸦,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,丫,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,桠,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,哑,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,麻,Ø,亚,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,补,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,谱,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,哺,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,布,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,佈,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,铺,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,潽,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,普,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,浦,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,铺,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,怖,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,菩,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,脯,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,葡,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,莆,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,部,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,簿,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,篰,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,步,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,捕,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,P,埠,u,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,模,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,模,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,摹,o,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,姥,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,暮,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,慕,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,墓,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,募,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,M,睦,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,都,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,都,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,赌,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,堵,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,睹,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,妒,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,土,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,兔,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,徒,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,屠,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,途,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,涂,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,图,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,杜,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,度,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,渡,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,T,镀,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,N,奴,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,N,努,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,N,怒,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,卢,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,炉,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,芦,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,鸬,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,颅,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,鲈,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,鲁,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,橹,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,虏,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,卤,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,路,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,赂,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,露,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,L,鹭,,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,租,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,祖,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,组,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,做,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,粗,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,醋,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,措,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,错,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,苏,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,酥,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,素,əu,,
WJ02,吴江芦墟,太湖片-苏沪嘉小片,,,模,TS,诉,əu,,
