point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,诸暨南部地区方言音韵比较研究
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,多,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,拖,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,他,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,驼,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,驮,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,陀,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,鸵,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,沱,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,舵,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,大,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,驮,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,N,挪,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,N,哪,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,N,那,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,罗,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,锣,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,箩,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,萝,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,逻,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,左,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,佐,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,搓,ʊ/ɤɯ,～麻将/～衣服,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,娑,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,歌,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,哥,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,柯,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,个,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,轲,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,可,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,蛾,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,鹅,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,俄,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,娥,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,我,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,饿,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,荷,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,河,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,何,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,荷,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,贺,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,阿,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,屙,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,茄,ia,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,波,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,菠,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,跛,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,簸,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,簸,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,播,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,颇,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,坡,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,玻,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,破,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,婆,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,薄,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,魔,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,磨,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,摩,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,馍,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,蘑,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,磨,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,朵,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,躲,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,剁,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,妥,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,椭,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,唾,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,砣,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,惰,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,垛,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,堕,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,N,挼,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,N,糯,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,N,懦,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,骡,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,螺,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,脶,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,啰,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,裸,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,瘰,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,摞,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,锉,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,莝,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,矬,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,坐, ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,座,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,蓑,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,梭,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,唆,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,莎,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,锁,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,琐,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,唢,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,过,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,锅,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,戈,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,果,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,裹,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,餜,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,过,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,科,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,窠,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,棵,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,髁,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,蝌,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,颗,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,课,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,讹,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,卧,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,火,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,伙,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,货,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,和,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,禾,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,祸,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,夥,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,和,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,倭,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,踒,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,窝,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,涡,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,莴,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,涴,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,瘸,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,靴,y,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,�,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,巴,ʊ/a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,芭,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,疤,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,笆,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,吧,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,把,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,靶,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,霸,ʊ/a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,欛,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,壩,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,坝,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,爸,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,怕,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,帕,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,爬,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,琶,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,杷,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,钯,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,P,耙,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,麻,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,痲,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,蟆,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,妈,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,马,ʊ/a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,码,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,玛,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,蚂,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,M,骂,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,N,拿,ʊ/a,～手戏/～走,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS,茶,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS,搽,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS,䖳,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,楂,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,渣,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,诈,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,榨,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,炸,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,叉,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,杈,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,差,ʊ/a,～不多/出～,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,岔,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,差,ʊ/a,～不多/出～,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,茬,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,查,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,乍,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,沙,ʊ/a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,纱,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,痧,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,砂,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,鲨,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,裟,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,洒,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,TS*,厦,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,家,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,傢,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,加,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,痂,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,嘉,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,枷,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,袈,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,假,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,贾,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,假,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,架,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,驾,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,嫁,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,稼,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,价,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,揢,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,牙,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,芽,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,衙,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,伢,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,蚜,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,雅,ia,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,K,砑,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,虾,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,�,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,嚇,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,霞,iʊ/ia,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,瑕,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,遐,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,蝦,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,下,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,夏,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,厦,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,下,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,夏,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,暇,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,鸦,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,丫,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,桠,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,哑,ʊ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,麻,Ø,亚,iʊ/ia,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,补,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,谱,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,哺,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,布,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,佈,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,铺,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,潽,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,普,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,浦,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,铺,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,怖,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,蒲,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,菩,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,脯,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,葡,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,莆,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,部,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,簿,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,篰,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,步,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,捕,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,P,埠,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,模,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,模,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,摹,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,姥,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,暮,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,慕,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,墓,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,募,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,M,睦,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,都,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,都,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,赌,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,堵,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,肚,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,睹,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,妒,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,土,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,吐,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,吐,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,兔,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,徒,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,屠,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,途,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,涂,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,图,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,杜,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,肚,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,度,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,渡,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,T,镀,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,N,奴,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,N,努,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,N,怒,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,卢,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,炉,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,芦,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,鸬,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,颅,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,鲈,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,鲁,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,橹,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,虏,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,卤,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,路,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,赂,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,露,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,L,鹭,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,租,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,祖,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,组,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,做,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,粗,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,醋,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,措,u,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,错,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,模,TS,苏,u,,
